syllable,onset,rhyme,n,pole_1,pole_2,pole_3,parallel_1,parallel_2,parallel_3,neighbors,example_words
ɤʊ,∅,ɤʊ,3,坤卦-static,兌卦-dynamic,坤卦-dynamic,坤卦-static + 兌卦-dynamic,坤卦-dynamic + 兌卦-dynamic,坤卦-static + 艮卦-dynamic,puppet vomit like fart even not poop matter,嘔吐(vomit) 偶(even) 木偶(puppet)
sɨ,s,ɨ,18,坤卦-dynamic,坎卦-static,乾卦-dynamic,坤卦-dynamic + 坎卦-static,坤卦-dynamic + 離卦-dynamic,坤卦-dynamic,bus bus_driver wedding friday train_driver single train telephone,死(die) 死(dead) 近似(approximate) 私人(private) 四(four) 起司蛋糕(cheesecake) 周四(thursday) 四月(april) 絲綢(silk) 絲線(thread) 金屬絲(wire) 布魯斯(blues)
t͡sɨ,t͡s,ɨ,73,震卦-static,艮卦-static,艮卦-dynamic,艮卦-static + 震卦-static,艮卦-dynamic + 震卦-static,艮卦-static + 艮卦-dynamic,basket carrot bean sunflower mulberry_tree acorn spoon hat,自誇(boast) 資助(fund) 自願(voluntary) 紫色(purple) 孩子(child) 兒子(son) 妻子(wife) 孫子(grandson) 小舅子(brother-in-law) 嫂子(sister-in-law) 繼子(stepson) 獅子(lion)
t͡sʰɨ,t͡sʰ,ɨ,10,坎卦-dynamic,兌卦-dynamic,艮卦-dynamic,坎卦-dynamic,艮卦-dynamic + 坎卦-dynamic,坎卦-dynamic + 兌卦-dynamic,pin butterfly magpie crow stamp woodpecker coin dragonfly,刺(stab) 沖刺(dash) 刺猬(hedgehog) 鸕鶿(cormorant) 刺(spike) 陶瓷(ceramic) 單詞(word) 歌詞(lyrics) 磁鐵(magnet) 再次(again)
kɯʌ,k,ɯʌ,22,震卦-static,坤卦-static,艮卦-static,坤卦-static + 震卦-static,坤卦-static + 艮卦-static,艮卦-static + 中卦-dynamic,one part same first this case next second,切割(cut) 唱歌(sing) 覆蓋(cover) 嚴格(strict) 這個(this) 那個(that) 哪一個(which) 每個(each) 下一個(next) 上一個(previous) 哥哥(big brother) 哥哥(big brother)
kʰɯʌ,kʰ,ɯʌ,14,坤卦-static,兌卦-dynamic,震卦-static,坤卦-static + 兌卦-dynamic,震卦-static + 兌卦-dynamic,坤卦-static + 震卦-static,coffee fart cigarette coke whiskey smoke beer drink,咳(cough) 口渴(thirsty) 可能(probable) 甲壳(carapace) 可樂(coke) 巧克力(chocolate) 客廳(living room) 麥克風(microphone) 朋克(punk) 薩克斯管(saxophone) 科學(science) 可能性(probability)
lɯʌ,l,ɯʌ,3,坤卦-static,乾卦-static,艮卦-static,坤卦-static + 乾卦-static,艮卦-static + 乾卦-static,坤卦-static + 艮卦-static,except for only one each_other some take_care_of mention,羅勒(basil) 為了(for) 除了(except)
mɯʌ,m,ɯʌ,3,震卦-dynamic,艮卦-static,離卦-static,震卦-dynamic,中卦-dynamic + 震卦-dynamic,震卦-dynamic + 離卦-static,what why that how how_much when think know,什麽(what) 什麽時候(when) 為什麽(why)
sɯʌ,s,ɯʌ,16,中卦-static,坤卦-static,中卦-dynamic,中卦-static,坎卦-static + 中卦-static,坤卦-static + 中卦-static,blue red white yellow orange purple black brown,染色(dye) 黑色(black) 白色(white) 紅色(red) 橙色(orange) 黃色(yellow) 綠色(green) 藍色(blue) 紫色(purple) 粉色(pink) 棕色(brown) 灰色(gray)
tɯʌ,t,ɯʌ,7,坤卦-static,坤卦-dynamic,乾卦-static,坤卦-static + 坤卦-dynamic,坤卦-static,坤卦-static + 乾卦-static,really just how_much like but okay thing what,得(get) 長得像(like) 整齐的(tidy) 道德(morality) 的(of) 真的(really) 好的(okay)
tʰɯʌ,tʰ,ɯʌ,2,離卦-dynamic,兌卦-dynamic,艮卦-static,離卦-dynamic,中卦-dynamic + 離卦-dynamic,艮卦-static + 離卦-dynamic,vodka feature beer tequila whiskey bottle wine cocktail,伏特加(vodka) 特征(feature)
t͡sɯʌ,t͡s,ɯʌ,2,艮卦-dynamic,坎卦-static,坤卦-static,坤卦-static + 艮卦-dynamic,艮卦-dynamic + 坎卦-static,艮卦-dynamic + 中卦-static,swamp rule law govern river lake land race,沼澤(swamp) 規則(rule)
t͡sʰɯʌ,t͡sʰ,ɯʌ,3,艮卦-dynamic,震卦-dynamic,離卦-dynamic,艮卦-dynamic + 中卦-static,中卦-static + 震卦-dynamic,艮卦-dynamic + 震卦-dynamic,predict measure guess say assume compare think explain,測量(measure) 預測(predict) 猜測(guess)
xɯʌ,x,ɯʌ,16,震卦-static,坎卦-static,離卦-static,中卦-dynamic + 震卦-static,坎卦-static + 震卦-static,震卦-static,key that idea part how what pillar place,喝(drink) 混合(mix) 如何(how) 鶴(crane) 核心(kernel) 百合(lily) 核桃(walnut) 薄荷(mint) 河(river) 和平(peace) 盒子(box) 合同(contract)
ɻɯʌ,ɻ,ɯʌ,1,坤卦-dynamic,乾卦-dynamic,中卦-dynamic,坤卦-dynamic + 中卦-dynamic,坤卦-dynamic + 乾卦-dynamic,坤卦-dynamic,hot cold warm wet spicy cool dry shower,熱(hot)
ʂɯʌ,ʂ,ɯʌ,9,艮卦-static,離卦-dynamic,坎卦-dynamic,艮卦-static + 離卦-dynamic,艮卦-static,艮卦-static + 兌卦-dynamic,ray radiate sky moon telescope comet person planet,輻射(radiate) 設計(design) 假設(assume) 蛇(snake) 龍舌蘭酒(tequila) 舌頭(tongue) 社會(society) 攝影師(photographer) 射線(ray)
ʈ͡ʂɯʌ,ʈ͡ʂ,ɯʌ,6,兌卦-dynamic,離卦-dynamic,艮卦-static,坎卦-static + 兌卦-dynamic,艮卦-static + 兌卦-dynamic,艮卦-static + 離卦-dynamic,victim reporter woman person cane policeman rope bus_driver,折疊(fold) 海蜇(jellyfish) 甘蔗(cane) 受害者(victim) 記者(reporter) 或者(or)
ʈ͡ʂʰɯʌ,ʈ͡ʂʰ,ɯʌ,1,坤卦-static,坤卦-dynamic,震卦-static,中卦-static + 震卦-static,坤卦-dynamic + 震卦-static,坤卦-static + 中卦-static,clear very bright sure precise transparent vague yet,清澈(clear)
ɯʌ,∅,ɯʌ,9,坤卦-dynamic,兌卦-static,艮卦-static,坤卦-dynamic + 兌卦-static,坤卦-dynamic + 艮卦-static,坤卦-dynamic,crocodile lion frog crow penguin ostrich giraffe rabbit,饑餓(hungry) 鵝(goose) 天鵝(swan) 企鵝(penguin) 鱷魚(crocodile) 蛾(moth) 額頭(forehead) 下顎(jaw) 天鵝絨(velvet)
ʂɻ,ʂ,ɻ,76,震卦-dynamic,離卦-dynamic,艮卦-dynamic,坤卦-static + 震卦-dynamic,坤卦-dynamic + 震卦-dynamic,坤卦-dynamic + 離卦-dynamic,time when next until day even first then,是(be) 擦拭(wipe) 開始(begin) 失去(lose) 嘗試(try) 使用(use) 駕駛(drive) 展示(show) 餵食(feed) 釋放(release) 消失(disappear) 裝飾(decorate)
ʈ͡ʂɻ,ʈ͡ʂ,ɻ,54,離卦-dynamic,艮卦-dynamic,震卦-dynamic,震卦-dynamic + 離卦-dynamic,艮卦-dynamic + 離卦-dynamic,坎卦-dynamic + 震卦-dynamic,take what matter make decide answer thing then,心智(mind) 知(know) 支付(pay) 製作(make) 停止(stop) 炙烤(roast) 通知(inform) 支持(support) 控製(control) 禁止(forbid) 統治(govern) 織(weave)
ʈ͡ʂʰɻ,ʈ͡ʂʰ,ɻ,8,震卦-static,坎卦-static,艮卦-static,艮卦-dynamic + 震卦-static,艮卦-dynamic + 坎卦-static,艮卦-static + 艮卦-dynamic,snack bowl hold eat sit base spoon meal,吃(eat) 持(hold) 支持(support) 小吃(snack) 翅膀(wing) 齒(tooth) 水池(pool) 尺子(ruler)
jʊŋ,j,ʊŋ,7,兌卦-dynamic,坤卦-static,艮卦-dynamic,坤卦-static + 震卦-dynamic,坤卦-static + 兌卦-dynamic,坤卦-dynamic + 兌卦-dynamic,need own become not able embrace forever yet,擁有(own) 使用(use) 擁抱(embrace) 勇敢(brave) 擁擠(crowded) 永不(never) 永遠(forever)
kʊŋ,k,ʊŋ,30,震卦-static,坎卦-static,艮卦-static,坤卦-dynamic + 震卦-static,震卦-static + 離卦-dynamic,坤卦-dynamic + 離卦-dynamic,construction_worker company station job train_driver train hotel plumber,攻擊(attack) 工作(work) 成功(succeed) 提供(provide) 公平(fair) 公共(public) 公共(public) 公婆(parents-in-law) 蜈蚣(centipede) 弓(bow) 彈弓(slingshot) 公共汽車(bus)
kʰʊŋ,kʰ,ʊŋ,10,坤卦-dynamic,坤卦-static,艮卦-static,坤卦-dynamic + 艮卦-static,坤卦-static + 艮卦-static,坤卦-static + 坤卦-dynamic,air air_conditioner space cloud sky idle static smoke,控製(control) 空(empty) 空閑(idle) 瞳孔(pupil) 鼻孔(nostril) 空氣(air) 天空(sky) 空調(air conditioner) 空中小姐(stewardess) 空間(space)
lʊŋ,l,ʊŋ,9,坤卦-dynamic,艮卦-static,兌卦-dynamic,坤卦-dynamic,坤卦-dynamic + 艮卦-static,坤卦-dynamic + 兌卦-dynamic,bird frog conch turtle reptile fish snake pet,聾(deaf) 寵物(pet) 龍蝦(lobster) 火龍果(dragon fruit) 龍舌蘭酒(tequila) 喉嚨(throat) 龍卷風(tornado) 籠(cage) 水龍頭(tap)
nʊŋ,n,ʊŋ,6,乾卦-static,乾卦-dynamic,震卦-static,乾卦-static,乾卦-static + 乾卦-dynamic,震卦-static + 乾卦-static,farm farmer agriculture cow country corn economy construction_worker,咕噥(mumble) 濃(strong) 膿(pus) 農業(agriculture) 農場(farm) 農民(farmer)
sʊŋ,s,ʊŋ,7,坤卦-dynamic,艮卦-dynamic,離卦-dynamic,坤卦-dynamic + 離卦-dynamic,坤卦-dynamic + 巽卦-dynamic,坤卦-dynamic + 兌卦-dynamic,bark pine birch cedar fir oak willow aspen,送(send) 放松(relax) 松(loose) 寬松(lenient) 松鼠(squirrel) 松樹(pine) 雪松(cedar)
tʊŋ,t,ʊŋ,15,艮卦-dynamic,震卦-static,坎卦-static,艮卦-dynamic + 震卦-static,艮卦-dynamic + 坎卦-static,艮卦-static + 艮卦-dynamic,break move jump hole slide zoo frog black_hole,移動(move) 凍結(freeze) 搖動(shake) 滾動(roll) 滑動(slide) 動物(animal) 動物園(zoo) 哺乳動物(mammal) 動脈(artery) 洞(hole) 冬天(winter) 東(east)
tʰʊŋ,tʰ,ʊŋ,16,艮卦-dynamic,離卦-dynamic,震卦-static,坤卦-dynamic + 離卦-dynamic,艮卦-dynamic + 震卦-static,震卦-static + 離卦-dynamic,person when one that point same where case,悲痛(grief) 通過(pass) 通知(inform) 統治(govern) 同(same) 梧桐樹(sycamore) 瞳孔(pupil) 疼痛(pain) 銅(copper) 桶(barrel) 桶(bucket) 合同(contract)
t͡sʊŋ,t͡s,ʊŋ,7,坤卦-dynamic,坎卦-static,震卦-static,坤卦-dynamic + 坎卦-static,坤卦-dynamic + 震卦-static,坤卦-dynamic + 中卦-static,prime_minister president person religion right green palm golden,放縱(indulgent) 棕色(brown) 棕櫚樹(palm tree) 宗教(religion) 總統(president) 總理(prime minister) 總是(always)
t͡sʰʊŋ,t͡sʰ,ʊŋ,8,坎卦-dynamic,艮卦-static,坎卦-static,坎卦-dynamic,艮卦-static + 坎卦-dynamic,坎卦-dynamic + 巽卦-static,tomato onion cabbage corn scallion fig bush pepper,服從(obey) 聰明(clever) 蔥(scallion) 洋蔥(onion) 灌木叢(bush) 煙囪(chimney) 從(from) 自從(since)
xʊŋ,x,ʊŋ,5,艮卦-static,坎卦-static,坎卦-dynamic,艮卦-static + 中卦-dynamic,艮卦-static + 乾卦-dynamic,艮卦-static,rainbow blue red pink orange egg_white yellow iris,烘烤(bake) 紅色(red) 虹膜(iris) 彩虹(rainbow) 洪水(flood)
ɻʊŋ,ɻ,ʊŋ,7,離卦-dynamic,坎卦-dynamic,兌卦-dynamic,巽卦-static + 離卦-dynamic,離卦-dynamic + 乾卦-static,中卦-dynamic + 離卦-dynamic,lavender bamboo jasmine silk almond pomegranate hibiscus velvet,融化(melt) 容納(contain) 容易(easy) 芙蓉(hibiscus) 榕樹(banyan) 天鵝絨(velvet) 金融(finance)
ʈ͡ʂʊŋ,ʈ͡ʂ,ʊŋ,18,坤卦-dynamic,艮卦-dynamic,乾卦-static,坤卦-dynamic,坤卦-dynamic + 艮卦-dynamic,坤卦-dynamic + 乾卦-static,cicada caterpillar insect mosquito firefly bird worm spider,播種(sow) 爬蟲(reptile) 昆蟲(insect) 毛蟲(caterpillar) 瓢蟲(ladybug) 千足蟲(millipede) 螢火蟲(firefly) 蠕蟲(worm) 種子(seed) 分鐘(minute) 中午(midday) 時鐘(clock)
ʈ͡ʂʰʊŋ,ʈ͡ʂʰ,ʊŋ,12,震卦-static,震卦-dynamic,兌卦-dynamic,震卦-static + 兌卦-dynamic,震卦-static + 震卦-dynamic,艮卦-dynamic + 震卦-static,weight gravity weigh point limit need magnitude measure,重復(repeat) 沖刺(dash) 稱重(weigh) 充滿(fill) 尊重(respect) 重(heavy) 重要(important) 沖突(conflict) 起重機(crane) 重量(weight) 重力(gravity) 沖量(impulse)
ɻ∅,ɻ,∅,6,艮卦-dynamic,坤卦-dynamic,乾卦-dynamic,艮卦-dynamic + 乾卦-dynamic,坤卦-dynamic + 艮卦-dynamic,艮卦-dynamic,calendar solstice week month wednesday day sunday tuesday,向日葵(sunflower) 日期(date) 周日(sunday) 日歷(calendar) 日程(schedule) 至日(solstice)
