Hungarian,Finnish,Greek,Russian,Sanskrit,German,Nahuatl,Spanish,Italian,French,Irish,Welsh,English,Chinese,Vietnamese,Japanese,Korean,Tibetan,Thai,Indonesian,Turkish,Swahili,Hindi,Iti,Ifi,French2,French3,Frnch,French4,Flinch
használni,käyttää,χρησιμοποιώ,использовать,धावति,benutzen,tlaloa,usar,usare,utiliser,úsáid,harferwch,use,使用,dùng,使う,쓰다 ,རྒྱུག,ใช้ ,menggunakan,kullanmak,tumia,उपयोग,foit,toit2,tcourir ,fcourir ,crr ,courir ,poulel 
törés,rikkoutua,να σπάσει,сломать,कूर्दति,brechen,choloa,romper,rompere,casser,bris,torrai,break,打破,phá vỡ,破る,부수다,མཆོངས,ทำลาย,istirahat,kırmak,vunja,ब्रेक,loit,poit2,tsauter ,fsauter ,str ,tauser ,tausil 
tönkre,pilata,καταστρέφω,разрушать,तरति,zerstören,maneloa,destruir,distruggere,détruire,scrios,dinistrion,ruin,破壞,hủy hoại,壊す,망치다 ,ཆུ་རྐྱལ་རྒྱག,ทำลาย ,merusak,mahvetmek,haribu,नष्ट करना,coit,zoit2,tnager ,fnager ,ngr ,naber ,nabil 
ölj,tappaa,σκοτώνω,убить,पतति,töten,patlani,matar,uccidere,tuer,maraigh,laddem,kill,殺,giết,殺す,죽이다, འཕུར,ฆ่า,membunuh,öldürmek,ua,मार,choit,zhoit2,tvoler ,fvoler ,vlr ,voler ,voril 
meghal,kuolla,πεθαίνω,умереть,रोहति,sterben,quehquetza,morir,morire,mourir,faigh bás,drengir,die,死,chết,死ぬ,죽다,ལང,ตาย,mati,ölmek,fa,मरना,mot,mot2,tse lever ,fse lever ,s lvr ,te lever ,ti rivil 
élő,elää,ζω,жить,पतति,leben,huetzi,vivir,vivere,vivre,mair,byw,live,活,sống,生きる,살다 ,ལྷུང,มีชีวิต ,hidup,yaşamak,ishi,सजीव,tot,fot2,ttomber ,ftomber ,tmbr ,somger ,somgil 
álom,uneksia,ονειρεύομαι,мечтать,वियाति,träumen,pano,soñar,sognare,rêver,taibhrigh,freuddwydion,dream,夢,mơ ước,夢見る,꾸다,ལ་རྒྱག,ฝัน ,mimpi,rügörmek,ota,सपना,pot,lot2,tpasser ,fpasser ,pssr ,katter ,kattil 
alvás,nukkua,κοιμάμαι,спать,गायति,schlafen,cuica,dormir,dormire,dormir,codail,chysger,sleep,睡,ngủ,眠る,자다 ,གཞས་བཏང,นอน ,tidur,uyumak,lala,नींद,zot,cot2,tchanter ,fchanter ,chntr ,chanser ,chansil 
kelj fel,herätä,ξυπνάω,проснуться,नटति,aufwachen,itotia,despertar,svegliarsi,se réveiller,dúisigh,deffro,wake up,醒,thức dậy,覚める,일어나다,ཞབས་འབྲོ་རྒྱག,ตื่นนอน ,bangun,uyanmak,amka,उठो,zhot,chot2,tdanser ,fdanser ,dnsr ,zanter ,zantil 
hazudj,maata,ξαπλώνω,лечь,क्रीडति,liegen,mahuiltia,yacer,stendersi,s'étendre,luigh,gorweddych,lie,躺,nằm,寝る,눕다, རྩེད་མོ་རྩེ,นอน,tidur,yatmak,gona,झूठ,fot,tot2,tjouer ,fjouer ,jr ,jouer ,jouil 
ül,istua,ἵζω,сидеть,प्लवते,sitzen,matoxoma,sentarse,sedere,s'asseoir,suigh,orai,sit,坐,ngồi,座る,앉다,འཕྱོ,นั่ง ,duduk,oturmak,kaa,बैठना,lot,pot2,tflotter ,fflotter ,flttr ,flosser ,frossil 
guggolás,kyykky,σκύβω,присесть,सरति,hocken,meya,acuclillarse,accovacciarsi,s'accroupir,gróig,swatiwyd,squat,蹲,ngồi xổm,しゃがむ,웅크리다,རྒྱུག,หมอบ,berjongkok,çömelmek,chuchumaa,फूहड़,cot,zot2,tcouler ,fcouler ,clr ,couler ,pouril 
görnyed,kumartua,σκύβω,наклониться,शीयते,bücken,cehuetzi,inclinarse,chinarsi,se baisser,crom,crymest,stoop,伏,cúi xuống,屈める,구부리다,ཁྱགས་པ་རྒྱག,ก้ม ,membungkuk,eğilmek,inama,गिर,chot,zhot2,tgeler ,fgeler ,glr ,beler ,biril 
állj,seistä,στέκομαι,стоять,श्वयति,stehen,poxauti,pararse,stare in piedi,se tenir,seas,safant,stand,站,đứng,立つ,서다,བསྐྲངས,ยืน ,berdiri,durmak,simama,स्टैंड,met,met2,tgonfler ,fgonfler ,gnflr ,bonfler ,bonfril 
járni,kävellä,περπατάω,ходить,वर्धति,gehen,hueya,caminar,camminare,marcher,siúil,cerdded,walk,走,đi bộ,歩く,걷다,སྐྱེས,เดิน,berjalan,yürümek,tembea,चलना,tet,fet2,tcroître,fcroître,crîtr,croîsre,ploîsli
futás,juosta,τρέχω,бежать,दहति,laufen,tlania,correr,correre,courir,rith,redych,run,跑,chạy,走る,달리다,ཚིག,วิ่ง ,berlari,koşmak,kimbia,चलाएं,pet,let2,tbrûler ,fbrûler ,brlr ,grûler ,glûril 
ugrás,hypätä,πηδάω,прыгать,पचति,springen,iucci,saltar,saltare,sauter,léim,beicasid,jump,跳,nhảy,跳ねる,점프 ,བཙོས,ข้ามไป,melompat,zıplamak,ruka,जम्प,zet,cet2,tcuisiner ,fcuisiner ,csnr ,cuitiner ,puetenil 
úszni,uida,κολυμπάω,плавать,कामयति,schwimmen,tlazotilia,nadar,nuotare,nager,snámh,nofio,swim,遊,bơi,泳ぐ,수영하다,བརྩེ་དུང་བྱེད,ว่ายน้ำ,berenang,yüzmek,ogelea,तैरना,tu,fu2,taimer ,faimer ,mr ,aimer ,aemil 
repülj,lentää,πετάω,летать,इच्छति,fliegen,nequi,volar,volare,voler,eitil,hehedan,fly,飛,bay,飛ぶ,날다,དགོས,บิน,terbang,uçmak,ruka,मक्खी,pu,lu2,tvouloir ,fvouloir ,vlr ,vouloir ,vouroel 
mozgás,liikkua,να μετακινήσω,двигаться,प्रयोजनम्अस्ति,bewegen,nequi,para mover,spostare,bouger,bog,ysgogwch,move,移動,di chuyển,移す,이동,དགོས,ย้าย,bergerak,taşımak,songa,मूव,zu,cu2,tavoir besoin,favoir besoin,vr bsn,avoir getoin,avoel gitoen
állj meg,pysähtyä,να σταματήσει,остановиться,द्वेष्टि,stoppen,cocolia,para detener,fermare,arrêter,stad,arhoswch,stop,停止,dừng lại,止める,그만하다,སྡང,หยุด,berhenti,durdurmak,acha,रोकें,zhu,chu2,tdétester ,fdétester ,dtstr ,zésetser ,zésitsil 
meghajtó,ajaa,προς οδήγηση,водить,बिभेति,fahren,mahuilia,conducir,guidare,conduire,tiomáin,gyrru,drive,駕駛,lái xe,運転する,운전합니다,ཞེད,ขับ,mengemudi,sürmek,endesha,ड्राइव,mu,mu2,tcraindre,fcraindre,crndr,crainzre,plaenzli
kövesd,seurata,ακολουθώ,следить,,folgen,,seguir,da seguire,suivre,lean,ddilyna ’,follow,跟隨,làm theo,従う,따라야합니다,,ติดตาม,mengikuti,takip etmek,fuata,अनुसरण करना,,,,,,,
emlékezik,muistaa,να θυμηθω,помнить,,erinnern,,recordar,ricordare,se souvenir,meabhraigh,cofiant,remember,記住,nhớ,覚える,기억합니다,,จำได้,mengingat,hatırlamak,kumbuka,याद,,,,,,,
elfelejt,unohtaa,να ξεχάσω,забывать,,vergessen,,olvidar,dimenticare,oublier,déan dearmad,hanghofion,forget,忘記,quên,忘れる,잊어 버립니다,,ลืม,dilupakan,unutmak,sahau,भूल जाओ,,,,,,,
észre,huomata,παρατηρώ,заметить,,bemerken,,notar,notare,remarquer,tabhair faoi deara,sylwi,notice,註意,nhận thấy,気付く,알아차리다,,สังเกต,memperhatikan,fark etmek,ona,सूचना,,,,,,,
figyelmen kívül hagyni,jättää huomiotta,αγνοώ,игнорировать,,ignorieren,,ignorar,ignorare,ignorer,tabhair neamhaird ar,anwybyddem,ignore,忽略,bỏ qua,無視する,무시합니다,,เพิกเฉย,mengabaikan,yoksaymak,puuza,अनदेखा करना,,,,,,,
hozzáadása,lisätä,να προσθέσω,добавить,,hinzufügen,,agregar,aggiungere,ajouter,cuir,gyfrifon,add,加上,thêm vào,加える,추가하려면,,เพิ่ม,menambahkan,eklemek,ongeza,add,,,,,,,
eltávolítása,poistaa,για να αφαιρέσετε,удалять,,entfernen,,eliminar,rimuovere,retirer,bain,godon,remove,去除,loại bỏ,除く,제거,,ลบ,menghapus,ayırmak,ondoa,हटाएँ,,,,,,,
növelje,kasvaa,αύξηση,увеличивать,,erhöhen,,aumentar,aumentare,augmenter,méadaigh,cynyddu,increase,增加,tăng,増やす,증가 시키려고,,เพิ่ม,meningkatkan,artırmak,ongeza,बढ़ाएँ,,,,,,,
csökkenés,vähentää,μειώνω,чтобы уменьшить,,verringern,,disminuir,diminuire,diminuer,laghdaigh,lleiheir,decrease,減少,làm giảm xuống,減らす,감소합니다,,ลด,mengurangi,azaltmak,pungua,घटी,,,,,,,
emelkedés,nousta,ανεβαίνω,вставать,,steigen,,levantar,salire,se lever,éirigh,goder,rise,上升,lên,上がる,오르다,,ขึ้น,naik,yükselmek,panda,वृद्धि,,,,,,,
ősz,pudota,πέφτω,падать,,fallen,,caer,cadere,tomber,tit,gwympant,fall,落下,ngã,落ちる,내리다,,ตก,terjatuh,düşmek,anguka,पतन,,,,,,,
leszáll,laskeutua,κατεβαίνω,спускаться,,absteigen,,descender,scendere,descendre,téigh síos,disgynasoch,descend,下降,xuống,降りる,내려 가기 위해,,เพื่อลง,turun,inmek,shuka,उतरना,,,,,,,
passz,ohittaa,περνάω,пройти,,durchgehen,,pasar,passare,passer,téigh thar,thramwyant,pass,通過,vượt qua,渡す,넘다,,ผ่าน ,melewati,geçmek,pita,pass,,,,,,,
énekel,laulaa,τραγουδάω,петь,,singen,,cantar,cantare,chanter,can,diwnid,sing,唱歌,hát,通る,노래하다,,ร้องเพลง ,menyanyi,şarkı söylemek,imba,गाओ,,,,,,,
táncolni,tanssia,χορεύω,танцевать,,tanzen,,bailar,ballare,danser,rinc,dawnsiasant,dance,跳舞,nhảy,踊る,추다,,ต้น ,menari,dans etmek,cheza,नृत्य,,,,,,,
játssz,pelata,παίζω,играть,,spielen,,jugar,giocare,jouer,imir,chwarae,play,玩,chơi,遊ぶ,놀다,,เล่น ,bermain,oynamak,cheza,खेल,,,,,,,
lebegni,kellua,πλέω,плаватьна плаву,,schweben,,flotar,galleggiare,flotter,snámh,harnofion,float,浮,nổi,浮かぶ,뜨다,,ลอย ,mengapung,yüzmek,elea,फ्लैश,,,,,,,
áramlás,virrata,τρέχω,течь,,fließen,,fluir,scorrere,couler,snigh,llifeiriwch,flow,流,chảy,流れる,흐르다,,ไหล ,mengalir,akmak,tiririka,प्रवाह,,,,,,,
fagy,jäätyä,παγώνω,замёрзнуть,,frieren,,congelarse,congelare,geler,reoigh,rhewi,freeze,凍結,đóng băng,凍る,얼다,,แช่แข็ง ,membeku,dondurmak,ganda,फ्रीज,,,,,,,
dagad,paisua,φουσκώνω,пухнуть,,schwellen,,hincharse,crescere,gonfler,at,godon,swell,膨脹,sưng lên,膨らむ,붓다,,พอง,membengkak,şişmek,fura,सूजना,,,,,,,
nő,kasvaa,μεγαλώνω,расти,,wachsen,,crecer,crescere,croître,fás,thyfwn,grow,生長,lớn lên,生える,자라다,,เติบโต,tumbuh,büyümek,kua,बढ़ना,,,,,,,
égni,palaa,καίω,жечь,,brennen,,quemar,bruciare,brûler,dóigh,llosgi,burn,燒,đốt,燃やす,타다,,เผา,membakar,yakmak,choma,बर्न,,,,,,,
főzés,laittaa ruokaa,να μαγειρέψω,готовить,,kochen,,cocinar,cucinare,cuisiner,cócaráil,goginia ’,cook,做飯,nấu ăn,料理する,요리합니다,,ทำอาหาร,memasak,pişirmek,kupika,कुक,,,,,,,
fry,paistaa,τηγανίζω,жарить,,braten,,freir,friggere,frire,frioch,ffria,fry,炒,chiên,炒める,튀김,,ทอด,menggoreng,kızartmak,kwa kaanga,भून,,,,,,,
forrás,keittää,να βράσει,кипятить,,kochen,,hervir,bollire,bouillir,beirigh,ferwon,boil,煮沸,đun sôi,沸かす,끓입니다,,ต้ม,merebus,kaynatmak,kuchemsha,उबाल,,,,,,,
pörkölt,tehdä,για να ματαιώσω,чтобы тушить,,schmoren,,guisar,a stufato,ragoût,stobh,stiwiff,stew,燉,hầm,煮込む,스튜에,,ไปสตูว์,rebus,güveç için,kwa kitoweo,स्टू,,,,,,,
gőzzel,höyryttää,να βγάζει ατμούς,паром,,dämpfen,,cocer al vapor,a vapore,cuire à la vapeur,galaigh,stêm,steam,蒸,bốc hơi,蒸す,증기,,การอบไอน้ำ,uap,buharlamak için,kwa mvuke,भाप,,,,,,,
sült,paahtautua,να ψήσει,жарить,,braten,,asar,arrostire,rôtir,róst,rostia,roast,炙烤,nướng,焼く,로스트,,การย่าง,memanggang,kızartmak,kuchoma,रोस्ट,,,,,,,
süss,leipoa,να ψήνουν,печь,,backen,,hornear,cuocere al forno,cuire,bácáil,phobir,bake,烘烤,nướng,焙煎する,구워,,การอบ,memanggang,pişirmek,kuoka,बेक,,,,,,,
ragyog,loistaa,να λάμψει,сиять,,leuchten,,brillar,brillare,briller,taitin,disgleirio,shine,閃耀,tỏa sáng,輝く,빛나는 것,,ส่องแสง,bersinar,parlamak için,angaza,चमक,,,,,,,
elolvad,sulaa,να λιώσει,чтобы растопить,,schmelzen,,para fundir,sciogliere,fondre,leáigh,toddi,melt,融化,tan chảy,溶ける,녹기,,เพื่อละลาย,mencair,erimek,yeyuka,पिघलना,,,,,,,
felrobban,räjähtää,να εκραγεί,взрываться,,explodieren,,explotar,esplodere,exploser,pléasc,ffrwydro,explode,爆炸,bùng nổ,爆発する,폭발하기 위해,,เพื่อระเบิด,meledak,patlamak için,lipuka,विस्फोट,,,,,,,
szerelem,rakastaa,αγαπάω,любить,,lieben,,amar,amare,aimer,gráigh,chari,love,愛,yêu,愛する,사랑하다,,รัก ,mencintai,sevmek,penda,प्रेम,,,,,,,
tetszik,pitää,να αρεσει,нравится,,mögen,,gustar,piacere,aimer,is maith le,hidion,like,喜歡,thích,好む,좋아하다,,ที่ชื่นชอบ,menyukai,beğenmek,penda,जैसे,,,,,,,
akarom,haluta,θέλω,хотеть,,wollen,,querer,volere,vouloir,iarr,eisiau,want,要,muốn,欲する,원하다,,ต้องการ ,inginkan,istemek,taka,चाहना,,,,,,,
szükséges,tarvita,χρειάζομαι,нуждаться,,brauchen,,necesitar,aver bisogno,avoir besoin,teastaigh ó,angen,need,需,cần,要する,필요하다,,ต้องการ ,butuh,ihtiyacı olmak,hitaji,ज़रूरत,,,,,,,
gyűlölet,vihata,μισώ,ненавидеть,,hassen,,odiar,odiare,détester,fuathaigh,chaseir,hate,恨,ghét,嫌う,싫어하다,,เกลียด ,membenci,nefret etmek,chukia,नफ़रत,,,,,,,
félelem,pelätä,φοβάμαι,бояться,,fürchten,,temer,temere,craindre,eaglaigh,hofnwch,fear,怕,sợ,恐れる,두렵다,,กลัว ,takut,korkmak,ogopa,भय,,,,,,,
kiss,suudella,να φιλήσει,целовать,,küssen,,besar,baciare,embrasser,póg,cusana ’,kiss,親吻,hôn,キスする,키스,,จูบ,mencium,öpmek,busu,चुंबन,,,,,,,
áthatolni,tunkeutua,να διεισδύσει,проникать,,eindringen,,para penetrar,penetrare,pénétrer,poll,treiddiwyd,penetrate,穿透,thâm nhập,貫く,침투합니다,,เพื่อเจาะ,menembus,içine girmek,penya,घुस,,,,,,,
dash,juosta,να καταρρίψει,чтобы бросить,,zu streiten,,para lanzarse,per precipitare,se précipiter,teilg,rhuthra ’,dash,沖刺,lao,突く,대시,,รีบร้อน,berlari,fırlamak,kwa dash,डैश,,,,,,,
lő,ampua,για να πυροβολήσω,выстрелить,,schießen,,para disparar,per sparare,tirer,lámhach,gollyngwch,shoot,開槍,bắn,撃つ,촬영합니다,,ในการถ่ายภาพ,menembak,atış yapmak,kupiga,गोली मारना,,,,,,,
harcolni,taistella,να παλέψω,бороться,,kämpfen,,luchar,combattere,combattre,troid,hymladd,fight,打架,chiến đấu,戦う,싸우기 위해서,,สู้,bertarung,savaşmak,kupigana,लड़ो,,,,,,,
vadászatot,metsästää,να κυνηγήσω,охотиться,,jagen,,a cazar,cacciare,chasser,seilg,hela,hunt,打獵,đi săn,狩る,사냥하다,,การล่าสัตว์,berburu,avlanmak,kuwinda,हंट,,,,,,,
megsérült,satuttaa,να βλάψει,причинять боль,,verletzen,,lastimar,ferire,blesser,gortaigh,anafer,hurt,傷害,làm đau,傷める,다치게,,เจ็บ,menyakiti,incitmek,kuumiza,ठेस,,,,,,,
támadás,hyökätä,να επιτεθείς,нападать,,angreifen,,atacar,per attaccare,attaquer,ionsaigh,hymosod,attack,攻擊,tấn công,攻める,공격합니다,,เพื่อโจมตี,menyerang,saldırmak,kushambulia,आक्रमण,,,,,,,
megvédeni,suojella,προστατεύω,защищать,,beschützen,,proteger,proteggere,protéger,cosain,hamddiffynasant,protect,保護,bảo vệ,守る,보호하기 위해,,ป้องกัน,melindungi,korumak,kinga,protect,,,,,,,
halom,kasata,στοιβάζω,накопить,,stapeln,,apilar,impilare,empiler,carn,pentwr,pile,堆積,chồng chất,積む,쌓다,,กอง,menumpuk,yığmak,lundika,ढेर,,,,,,,
bolt,varastoida,αποθηκεύω,хранить,,lagern,,almacenar,immagazzinare,stocker,stóráil,storiasant,store,儲存,lưu trữ,蓄える,보관시키다,,กักเก็บ,menyimpan,depolamak,hifadhi,स्टोर,,,,,,,
beszúrása,laittaa sisään,ἐντίθημι,вставить,,einsetzen,,insertar,inserire,insérer,ionsáigh,mewnosodem,insert,插入,chèn vào,差し込む,삽입하려면,,แทรก,memasukkan,sokmak,ingiza,प्रविष्ट,,,,,,,
tartalmaznak,sisältää,περιέχω,содержать,,enthalten,,contener,contenere,contenir,coinnigh,gynhwysaf,contain,容納,chứa,含める,포함하다,,บรรจุ,berisi,içermek,enye,रोकना,,,,,,,
tartalmaz,sisällyttää,να συμπεριλάβει,включать,,einschließen,,incluir,includere,inclure,cuir san áireamh,cynhwysaf,include,包括,bao gồm,含める,포함하는,,ที่จะรวม,memasukkan,içermek,kujumuisha,शामिल,,,,,,,
tájékoztatja,tiedottaa,πληροφορώ,сообщить,,informieren,,informar,informare,informer,cuir in iúl,hysbysent,inform,通知,thông báo,知らせる,알리다,,แจ้ง,memberi tahu,bilgi vermek,julisha,सूचित करना,,,,,,,
bejelenteni,uluttaa,ανακοινώνω,объявлять,,ankündigen,,anunciar,annunciare,annoncer,fógair,gyhoeddan,announce,宣布,thông báo,発表する,발표합니다,,ประกาศ,mengumumkan,duyurmak için,tangaza,की घोषणा,,,,,,,
söpörni,lakaista,σκουπίζω,мести,,fegen,,barrer,spazzare,balayer,scuab,ysguban,sweep,打掃,quét,掃除する,청소하기,,ปัดกวาด,menyapu,süpürüyor,fagia,स्वीप,,,,,,,
kiadó,vuokrata,ενοικιάζω,арендовать,,mieten,,rentar,noleggiare,louer,cuir ar cíos,rhent,rent,租,thuê,貸す,렌트하다,,ให้เช่า,menyewa,kiralamak,kodisha,किराया,,,,,,,
